Gender,Age,Income,Education,Location,Credit_Score,Loan_Status
Male,49,64314,Bachelor,Urban,434,1
Female,28,40045,Bachelor,Suburban,821,1
Female,56,46327,High School,Rural,382,0
Female,49,55709,Bachelor,Urban,343,1
Male,35,65179,High School,Suburban,782,1
Male,31,55338,Bachelor,Suburban,792,0
Male,37,99681,Master,Urban,798,1
Female,37,84148,High School,Suburban,317,0
Female,52,62919,High School,Suburban,593,1
Female,63,78446,High School,Suburban,447,1
Male,46,75838,Bachelor,Suburban,771,1
Female,34,67894,Master,Rural,471,1
Female,27,26447,High School,Urban,830,0
Male,30,95149,PhD,Urban,419,1
Male,57,56616,High School,Urban,365,0
Male,64,109655,Master,Urban,440,1
Male,41,84567,Bachelor,Urban,745,1
Male,39,67099,Bachelor,Urban,805,0
Male,64,105831,Bachelor,Urban,488,1
Male,42,91799,Bachelor,Urban,457,1
Female,25,88367,Master,Suburban,545,0
Male,54,76172,Master,Urban,332,1
Male,48,85863,Bachelor,Rural,660,1
Male,28,72043,High School,Rural,629,1
Male,27,112569,High School,Urban,811,1
Female,36,65178,Master,Suburban,370,1
Male,39,87980,Bachelor,Rural,612,1
Male,53,112956,Bachelor,Urban,378,0
Female,32,37199,Bachelor,Urban,468,0
Male,41,34131,Master,Urban,479,0
Female,45,77786,Bachelor,Urban,559,0
Male,36,41349,Master,Urban,785,0
Male,28,90931,Master,Rural,304,1
Female,42,32665,Bachelor,Suburban,596,0
Female,63,20534,High School,Rural,659,0
Female,47,56132,Master,Urban,416,0
Male,35,48814,Bachelor,Urban,656,1
Male,58,48263,PhD,Urban,738,0
Female,42,83580,High School,Urban,630,0
Male,39,45735,High School,Urban,824,1
Male,26,45830,PhD,Suburban,487,1
Male,24,77893,Bachelor,Urban,580,1
Male,44,74673,Bachelor,Suburban,810,0
Female,47,78232,Master,Urban,765,0
Male,58,75066,Bachelor,Suburban,414,1
Female,45,39324,Bachelor,Rural,535,0
Male,40,40335,High School,Rural,637,0
Male,46,53741,Master,Urban,821,1
Male,42,40692,Master,Suburban,498,0
Male,33,77295,High School,Suburban,349,1
Female,62,30358,Master,Rural,441,0
Female,54,23240,Master,Rural,827,1
Female,25,65689,Bachelor,Rural,813,0
Female,63,21936,Bachelor,Urban,329,1
Female,28,63965,Bachelor,Rural,381,0
Female,43,20882,High School,Suburban,330,0
Male,54,53906,Master,Urban,632,1
Male,38,115103,Master,Urban,476,1
Male,45,109675,Bachelor,Urban,669,1
Male,55,76525,Bachelor,Rural,846,1
Male,49,68230,High School,Urban,834,1
Male,64,49520,High School,Urban,405,0
Female,62,22244,Bachelor,Urban,396,0
Male,60,81934,High School,Suburban,529,1
Male,43,55566,Bachelor,Urban,526,1
Male,38,103193,Bachelor,Rural,670,1
Male,55,60134,Master,Urban,399,1
Female,27,53541,Bachelor,Suburban,744,0
Male,27,71185,Bachelor,Suburban,767,1
Female,55,84952,Bachelor,Urban,354,0
Female,22,59563,High School,Urban,494,1
Male,31,58018,High School,Suburban,819,1
Male,42,84219,High School,Urban,723,1
Female,26,36121,Master,Urban,614,0
Female,23,21674,High School,Suburban,427,0
Female,43,86275,Master,Suburban,331,1
Female,23,87081,PhD,Rural,392,0
Male,31,68862,Master,Urban,818,1
Male,55,88870,High School,Urban,557,1
Male,37,116694,PhD,Urban,519,1
Female,60,43004,High School,Suburban,405,0
Female,43,30492,Bachelor,Suburban,847,0
Male,33,61379,Master,Suburban,715,1
Male,45,94729,Bachelor,Urban,608,1
Male,61,58378,Bachelor,Rural,665,1
Male,59,84353,High School,Urban,820,1
Female,31,29045,Bachelor,Urban,758,0
Female,56,40116,Bachelor,Suburban,669,0
Female,53,38667,Bachelor,Urban,630,0
Male,28,95982,PhD,Rural,310,1
Male,42,66683,PhD,Rural,806,1
Female,41,50935,Master,Suburban,718,1
Female,47,51624,Bachelor,Suburban,421,0
Female,25,33440,Bachelor,Suburban,534,0
Female,43,66501,PhD,Rural,630,1
Male,36,50527,Master,Urban,842,1
Male,61,53569,Bachelor,Urban,647,0
Male,42,41151,High School,Rural,711,0
Male,36,101094,High School,Rural,523,1
Male,43,89174,Bachelor,Rural,452,0
Male,49,74739,Bachelor,Urban,511,1
Female,35,61337,Master,Urban,391,1
Male,48,65303,High School,Urban,630,0
Male,62,64700,High School,Rural,766,1
Female,61,28433,Bachelor,Rural,527,0
Male,49,96788,Bachelor,Rural,493,1
Male,47,101045,High School,Urban,829,0
Female,23,41751,Bachelor,Urban,542,0
Male,46,43900,Bachelor,Suburban,688,0
Male,24,110059,Master,Suburban,575,1
Male,29,31881,Bachelor,Urban,749,1
Male,54,63037,Bachelor,Rural,777,0
Female,63,78144,Bachelor,Urban,779,1
Female,56,68570,Master,Rural,587,1
Female,27,66097,High School,Suburban,839,1
Female,60,44503,Master,Rural,629,0
Female,44,22779,Bachelor,Rural,769,0
Male,46,78920,Master,Urban,833,1
Female,64,59263,Master,Rural,766,1
Male,40,110357,Bachelor,Rural,719,0
Female,26,62281,Bachelor,Rural,421,0
Female,32,71482,High School,Rural,607,0
Male,33,111972,Master,Urban,633,1
Male,31,105485,Bachelor,Suburban,719,1
Male,29,84722,Bachelor,Suburban,625,0
Male,45,119499,Master,Urban,549,1
Female,49,66825,Master,Rural,394,0
Female,62,44600,High School,Urban,595,0
Male,57,36901,Bachelor,Urban,483,0
Male,58,38597,Bachelor,Urban,559,1
Male,42,93909,Bachelor,Rural,485,0
Male,29,102391,Bachelor,Suburban,708,0
Male,30,114214,Bachelor,Rural,368,1
Male,36,38263,Bachelor,Rural,307,0
Female,61,33543,Master,Urban,564,1
Male,39,55805,High School,Urban,783,1
Male,63,41874,Bachelor,Urban,670,1
Female,41,71428,High School,Suburban,382,1
Male,27,44079,High School,Suburban,510,0
Female,33,77939,High School,Urban,612,0
Female,23,73026,Bachelor,Rural,636,0
Male,28,39018,Master,Suburban,789,1
Male,37,79500,High School,Urban,702,1
Male,24,42100,High School,Suburban,490,0
Male,24,87021,PhD,Rural,634,1
Male,48,49800,High School,Rural,821,1
